id,name,name_en,name_hira,name_kata,logo_url,url_domain
1,北海道,hokkaido,ほっかいどう,ホッカイドウ,https://storage.googleapis.com/hojokin-dock-public/logo_images/北海道.png,https://www.pref.hokkaido.lg.jp
2,青森県,aomori,あおもりけん,アオモリケン,https://storage.googleapis.com/hojokin-dock-public/logo_images/青森県.png,https://www.pref.aomori.lg.jp
3,岩手県,iwate,いわてけん,イワテケン,https://storage.googleapis.com/hojokin-dock-public/logo_images/岩手県.png,https://www.pref.iwate.jp
4,宮城県,miyagi,みやぎけん,ミヤギケン,https://storage.googleapis.com/hojokin-dock-public/logo_images/宮城県.png,https://www.pref.miyagi.jp
5,秋田県,akita,あきたけん,アキタケン,https://storage.googleapis.com/hojokin-dock-public/logo_images/秋田県.png,https://www.pref.akita.lg.jp
6,山形県,yamagata,やまがたけん,ヤマガタケン,https://storage.googleapis.com/hojokin-dock-public/logo_images/山形県.png,https://www.pref.yamagata.jp
7,福島県,fukushima,ふくしまけん,フクシマケン,https://storage.googleapis.com/hojokin-dock-public/logo_images/福島県.png,https://www.pref.fukushima.lg.jp
8,茨城県,ibaraki,いばらきけん,イバラキケン,https://storage.googleapis.com/hojokin-dock-public/logo_images/茨城県.png,https://www.pref.ibaraki.jp
9,栃木県,tochigi,とちぎけん,トチギケン,https://storage.googleapis.com/hojokin-dock-public/logo_images/栃木県.png,https://www.pref.tochigi.lg.jp
10,群馬県,gunma,ぐんまけん,グンマケン,https://storage.googleapis.com/hojokin-dock-public/logo_images/群馬県.png,https://www.pref.gunma.jp
11,埼玉県,saitama,さいたまけん,サイタマケン,https://storage.googleapis.com/hojokin-dock-public/logo_images/埼玉県.png,https://www.pref.saitama.lg.jp
12,千葉県,chiba,ちばけん,チバケン,https://storage.googleapis.com/hojokin-dock-public/logo_images/千葉県.png,https://www.pref.chiba.lg.jp
13,東京都,tokyo,とうきょうと,トウキョウト,https://storage.googleapis.com/hojokin-dock-public/logo_images/東京都.png,https://www.metro.tokyo.lg.jp
14,神奈川県,kanagawa,かながわけん,カナガワケン,https://storage.googleapis.com/hojokin-dock-public/logo_images/神奈川県.png,https://www.pref.kanagawa.jp
15,新潟県,niigata,にいがたけん,ニイガタケン,https://storage.googleapis.com/hojokin-dock-public/logo_images/新潟県.png,https://www.pref.niigata.lg.jp
16,富山県,toyama,とやまけん,トヤマケン,https://storage.googleapis.com/hojokin-dock-public/logo_images/富山県.png,https://www.pref.toyama.jp
17,石川県,ishikawa,いしかわけん,イシカワケン,https://storage.googleapis.com/hojokin-dock-public/logo_images/石川県.png,https://www.pref.ishikawa.lg.jp
18,福井県,fukui,ふくいけん,フクイケン,https://storage.googleapis.com/hojokin-dock-public/logo_images/福井県.png,https://www.pref.fukui.lg.jp
19,山梨県,yamanashi,やまなしけん,ヤマナシケン,https://storage.googleapis.com/hojokin-dock-public/logo_images/山梨県.png,https://www.pref.yamanashi.jp
